category_code,name,parent_id
767,SUCHÁ PLEŤ,693
776,ANTI-AGEING,693
803,NORMÁLNÍ PLEŤ,693
714,Dárkové sety,714
770,MASTNÁ PLEŤ,693
773,SMÍŠENÁ PLEŤ,693
779,PROBLEMATICKÁ PLEŤ,693
857,HYPERPIGMENTACE,693
735,Péče o tělo,735
844,AROMATERAPEUTICKÉ MLHY,844
826,Kompozice éterických olejů,744
817,DEODORANTY,735
860,KNIHY,860
696,Péče o děti,696
749,ČIŠTĚNÍ PLETI,693
785,Éterické oleje,744
696,Péče o děti,693
838,TĚLOVÁ MÁSLA,735
755,Kosmetické doplňky,755
735,Péče o tělo,744
749,ČIŠTĚNÍ PLETI,744
791,Hydroláty - květové vody,744
735,Péče o tělo,693
791,Hydroláty - květové vody,693
854,CITLIVÁ PLEŤ,693
714,Dárkové sety,744
797,Aroma Wellness,744
844,AROMATERAPEUTICKÉ MLHY,744
693,Péče o pleť,735
797,Aroma Wellness,735
820,TĚLOVÉ OLEJE,735
864,LUXUSNÍ ARAGONITOVÉ OBALY,693
693,Péče o pleť,849
849,MINI BALENÍ,849
805,BALZÁMY NA RTY,693
811,PLEŤOVÉ MASKY,693
714,Dárkové sety,755
788,Vzácné esence v jojobě,744
785,Éterické oleje,785
826,Kompozice éterických olejů,785
